Gene name	Gene stable ID
dusp28	ENSDARG00000059695
map3k20a	ENSDARG00000044615
psmb1	ENSDARG00000009640
	ENSDARG00000096569
tfdp2	ENSDARG00000042835
jak2b	ENSDARG00000018882
tgfbr1a	ENSDARG00000017494
	ENSDARG00000093153
ZFR2	ENSDARG00000071683
tlx1	ENSDARG00000003965
	ENSDARG00000102904
faap100	ENSDARG00000079457
	ENSDARG00000095595
si:dkey-48g21.7	ENSDARG00000100707
pax2b	ENSDARG00000032578
	ENSDARG00000103555
ildr1a	ENSDARG00000103929
	ENSDARG00000096826
	ENSDARG00000094501
gipc2	ENSDARG00000009488
	ENSDARG00000095421
zgc:110843	ENSDARG00000073845
ghdc	ENSDARG00000055569
tbc1d20	ENSDARG00000032298
jph1a	ENSDARG00000058603
pnrc2	ENSDARG00000053291
cntn1b	ENSDARG00000045685
	ENSDARG00000097106
tmem88a	ENSDARG00000056920
yrdc	ENSDARG00000041428
smap1	ENSDARG00000031302
	ENSDARG00000094648
otub1a	ENSDARG00000055536
si:ch73-335l21.2	ENSDARG00000105617
hdlbpa	ENSDARG00000009830
ppp1r27b	ENSDARG00000100504
got2a	ENSDARG00000041068
	ENSDARG00000093081
rgs14a	ENSDARG00000021521
	ENSDARG00000094472
smim18	ENSDARG00000093064
	ENSDARG00000103078
lrp2a	ENSDARG00000102506
prkx	ENSDARG00000060716
nkx1.2la	ENSDARG00000006350
ugt5g2	ENSDARG00000043901
ndr1	ENSDARG00000057096
zgc:172218	ENSDARG00000089869
	ENSDARG00000094197
ptbp2a	ENSDARG00000101947
si:ch211-214j24.10	ENSDARG00000045847
eif5	ENSDARG00000003681
cdyl	ENSDARG00000038985
enam	ENSDARG00000092730
si:ch211-140b10.6	ENSDARG00000045342
rgmd	ENSDARG00000034013
triobpb	ENSDARG00000006385
gng2	ENSDARG00000056831
actr6	ENSDARG00000021370
prrc1	ENSDARG00000044304
galr1a	ENSDARG00000005522
tspan13b	ENSDARG00000070479
si:ch211-125e6.8	ENSDARG00000094518
hspa13	ENSDARG00000040984
zgc:77056	ENSDARG00000029615
	ENSDARG00000095592
chrnd	ENSDARG00000019342
pofut1	ENSDARG00000008953
casq2	ENSDARG00000008982
cyp2x10.2	ENSDARG00000006501
wdr37	ENSDARG00000074611
glipr2l	ENSDARG00000016837
mbd1a	ENSDARG00000101205
sbk3	ENSDARG00000057687
casc3	ENSDARG00000029911
dhrs3b	ENSDARG00000044803
enpp2	ENSDARG00000011257
	ENSDARG00000093471
cav3	ENSDARG00000024141
gsc	ENSDARG00000059073
	ENSDARG00000109740
PCLO	ENSDARG00000063299
rem1	ENSDARG00000020544
	ENSDARG00000113510
VPS13C	ENSDARG00000074465
si:ch73-112l6.1	ENSDARG00000093126
pgr	ENSDARG00000035966
	ENSDARG00000095995
poc1bl	ENSDARG00000012745
	ENSDARG00000060096
cyp2k18	ENSDARG00000104593
pgap1	ENSDARG00000062465
	ENSDARG00000090171
	ENSDARG00000089503
	ENSDARG00000096622
	ENSDARG00000094533
	ENSDARG00000099958
aicda	ENSDARG00000015734
syk	ENSDARG00000008186
	ENSDARG00000099204
	ENSDARG00000094037
rmc1	ENSDARG00000029307
acot19	ENSDARG00000040427
nus1	ENSDARG00000027813
akirin2	ENSDARG00000058729
si:dkey-69c1.1	ENSDARG00000093426
ccdc32	ENSDARG00000073962
	ENSDARG00000101412
fez2a	ENSDARG00000073784
si:dkey-9i23.4	ENSDARG00000051993
lrrc8da	ENSDARG00000103370
aplnr2	ENSDARG00000004447
tyw5	ENSDARG00000069672
ptger4a	ENSDARG00000059236
	ENSDARG00000113007
C20H12orf57	ENSDARG00000030038
slc17a5	ENSDARG00000055190
slitrk3b	ENSDARG00000074739
	ENSDARG00000097808
ppp1r13ba	ENSDARG00000004377
cxcl8b.1	ENSDARG00000102299
	ENSDARG00000032077
atf7a	ENSDARG00000011298
srgap1a	ENSDARG00000007461
triap1	ENSDARG00000014963
gtf2b	ENSDARG00000103578
bcl11ab	ENSDARG00000063153
	ENSDARG00000095922
	ENSDARG00000094193
ahcyl2a	ENSDARG00000051873
ppl	ENSDARG00000101043
itsn1	ENSDARG00000000086
efhd2	ENSDARG00000055759
si:ch73-368j24.11	ENSDARG00000105430
	ENSDARG00000071381
cttnbp2nlb	ENSDARG00000056091
hist2h3ca1	ENSDARG00000105508
b4galt4	ENSDARG00000104042
si:dkey-23a13.22	ENSDARG00000105384
	ENSDARG00000090140
	ENSDARG00000097788
ing4	ENSDARG00000030716
	ENSDARG00000097466
fabp3	ENSDARG00000023290
	ENSDARG00000096065
ankfy1	ENSDARG00000061013
st8sia3	ENSDARG00000045301
intu	ENSDARG00000077639
alas2	ENSDARG00000038643
mindy4	ENSDARG00000077696
tom1l2	ENSDARG00000009217
	ENSDARG00000094070
gba1	ENSDARG00000076058
C16H1orf43	ENSDARG00000055613
mtch2	ENSDARG00000019732
	ENSDARG00000097094
psma8	ENSDARG00000010965
	ENSDARG00000094055
barhl1a	ENSDARG00000035508
gamt	ENSDARG00000070844
nsun5	ENSDARG00000043209
wapla	ENSDARG00000044144
	ENSDARG00000104303
hipk3b	ENSDARG00000062082
fam20cb	ENSDARG00000090338
zgc:112977	ENSDARG00000071741
plvapa	ENSDARG00000076972
LSM2	ENSDARG00000103066
	ENSDARG00000101819
	ENSDARG00000093872
myoz2b	ENSDARG00000037266
hoxa5a	ENSDARG00000102501
clcn2c	ENSDARG00000060439
tspan34b	ENSDARG00000025757
uqcrb	ENSDARG00000011146
OSTM1	ENSDARG00000069808
	ENSDARG00000097549
ythdc1	ENSDARG00000051953
ino80b	ENSDARG00000062749
si:dkeyp-2e4.3	ENSDARG00000095283
kat14	ENSDARG00000041708
si:dkeyp-2e4.6	ENSDARG00000093656
iqcb1	ENSDARG00000101032
necap2	ENSDARG00000046002
	ENSDARG00000091252
ptbp1a	ENSDARG00000019362
	ENSDARG00000095654
	ENSDARG00000095149
	ENSDARG00000105194
	ENSDARG00000103110
pcgf5b	ENSDARG00000052388
klhl7	ENSDARG00000101445
mapk8b	ENSDARG00000009870
rpl18	ENSDARG00000029533
	ENSDARG00000095068
si:dkey-91i10.2	ENSDARG00000074034
chia.3	ENSDARG00000009612
	ENSDARG00000097830
cacna2d2b	ENSDARG00000078169
	ENSDARG00000112840
	ENSDARG00000097941
pla2g12b	ENSDARG00000015662
emilin1b	ENSDARG00000026166
abca4a	ENSDARG00000057169
esyt3	ENSDARG00000006422
mapk11	ENSDARG00000045836
fbxl18	ENSDARG00000007443
rrp36	ENSDARG00000032516
si:dkeyp-82a1.6	ENSDARG00000094336
amacr	ENSDARG00000057435
arhgef4	ENSDARG00000012914
HTRA2	ENSDARG00000069909
pdgfrl	ENSDARG00000006456
CCR9	ENSDARG00000099738
mb21d2	ENSDARG00000077690
atp1b1a	ENSDARG00000013144
	ENSDARG00000092604
fbxo25	ENSDARG00000075172
	ENSDARG00000098929
	ENSDARG00000097839
	ENSDARG00000092833
pcdh2ab3	ENSDARG00000102719
kdm4aa	ENSDARG00000018782
ANKRD27	ENSDARG00000089207
dnaaf1	ENSDARG00000012030
mpeg1.2	ENSDARG00000043093
	ENSDARG00000002607
	ENSDARG00000100563
	ENSDARG00000095304
dlb	ENSDARG00000004232
prelid1a	ENSDARG00000098671
	ENSDARG00000093950
cops2	ENSDARG00000004785
zgc:113424	ENSDARG00000035680
mapre3b	ENSDARG00000102878
	ENSDARG00000079143
si:dkeyp-1h4.9	ENSDARG00000094719
	ENSDARG00000101371
	ENSDARG00000100044
usf1	ENSDARG00000041689
si:dkey-228d14.5	ENSDARG00000057440
	ENSDARG00000093099
	ENSDARG00000094123
polr3g	ENSDARG00000024687
afg1la	ENSDARG00000011466
fut9b.1	ENSDARG00000067524
cplx4b	ENSDARG00000059486
zgc:85858	ENSDARG00000039008
zgc:158260	ENSDARG00000101703
PIGT	ENSDARG00000075842
	ENSDARG00000101617
si:dkeyp-121d4.3	ENSDARG00000089355
mbnl2	ENSDARG00000018460
	ENSDARG00000097353
	ENSDARG00000078072
cyp2aa4	ENSDARG00000098803
pimr157	ENSDARG00000116490
	ENSDARG00000102278
ppifa	ENSDARG00000007409
cpm	ENSDARG00000011769
znf395a	ENSDARG00000060113
agtr1a	ENSDARG00000018616
	ENSDARG00000115142
sfi1	ENSDARG00000053992
	ENSDARG00000100105
	ENSDARG00000077180
	ENSDARG00000100654
	ENSDARG00000101563
CPNE9	ENSDARG00000098252
	ENSDARG00000097557
slc35g1	ENSDARG00000063268
	ENSDARG00000092001
	ENSDARG00000098657
rbm24a	ENSDARG00000102995
calhm1a	ENSDARG00000077021
oc90	ENSDARG00000001721
cldn15la	ENSDARG00000016081
zgc:113307	ENSDARG00000044894
cep152	ENSDARG00000075725
	ENSDARG00000101600
	ENSDARG00000056014
mibp	ENSDARG00000101362
ip6k2a	ENSDARG00000008310
MFSD9	ENSDARG00000074728
emx1	ENSDARG00000039569
	ENSDARG00000093404
	ENSDARG00000075815
col1a2	ENSDARG00000020007
ctrb.3	ENSDARG00000039730
SYT14	ENSDARG00000010934
	ENSDARG00000095275
ppp3ccb	ENSDARG00000057456
zgc:91944	ENSDARG00000035887
smim1	ENSDARG00000075500
snx5	ENSDARG00000020442
purab	ENSDARG00000099614
soul4	ENSDARG00000101008
	ENSDARG00000062156
ubxn10	ENSDARG00000052535
si:ch73-52p7.1	ENSDARG00000095184
pde6a	ENSDARG00000000380
	ENSDARG00000102518
	ENSDARG00000112528
bet1	ENSDARG00000034885
tnk1	ENSDARG00000069433
si:ch73-345f18.3	ENSDARG00000101218
prdm10	ENSDARG00000104251
	ENSDARG00000097515
si:dkey-267n13.1	ENSDARG00000035665
ctsa	ENSDARG00000098114
hoxb2a	ENSDARG00000000175
rft1	ENSDARG00000060398
gpr65	ENSDARG00000045957
	ENSDARG00000105356
zyg11l	ENSDARG00000101799
creb1a	ENSDARG00000053586
puf60b	ENSDARG00000001241
	ENSDARG00000094151
htatip2	ENSDARG00000028386
cfap97d2	ENSDARG00000093739
bokb	ENSDARG00000008807
gpd1b	ENSDARG00000043180
elk4	ENSDARG00000077092
	ENSDARG00000102522
mettl21cb	ENSDARG00000055437
opn3	ENSDARG00000052775
	ENSDARG00000103569
serinc4	ENSDARG00000044815
hoxb7a	ENSDARG00000056030
pimr119	ENSDARG00000102969
	ENSDARG00000096101
prpf8	ENSDARG00000026180
mettl21e	ENSDARG00000016343
ergic1	ENSDARG00000100047
btbd17b	ENSDARG00000102472
si:ch211-132f19.7	ENSDARG00000043141
	ENSDARG00000058835
si:dkey-80c24.1	ENSDARG00000070692
	ENSDARG00000097922
	ENSDARG00000093030
perp	ENSDARG00000063572
card14	ENSDARG00000103485
stambpa	ENSDARG00000054501
lims2	ENSDARG00000014976
	ENSDARG00000102104
fgfr1bl	ENSDARG00000104015
zdhhc12a	ENSDARG00000076632
myhz1.2	ENSDARG00000067995
usp39	ENSDARG00000041908
	ENSDARG00000110841
si:dkey-21c1.1	ENSDARG00000096725
poglut1	ENSDARG00000053463
zgc:112234	ENSDARG00000111934
	ENSDARG00000002020
	ENSDARG00000111303
vopp1a	ENSDARG00000038979
nup153	ENSDARG00000099972
tepsin	ENSDARG00000071406
	ENSDARG00000097794
spen	ENSDARG00000074245
trak1a	ENSDARG00000041304
ak5l	ENSDARG00000017739
zgc:195001	ENSDARG00000070484
lsm14ab	ENSDARG00000100553
si:ch1073-314i13.4	ENSDARG00000074266
	ENSDARG00000087983
pfkmb	ENSDARG00000060797
	ENSDARG00000087518
	ENSDARG00000099867
adcy8	ENSDARG00000031783
zgc:162396	ENSDARG00000069549
ube2d2	ENSDARG00000043484
cep55l	ENSDARG00000102349
mrpl10	ENSDARG00000045091
	ENSDARG00000041490
rad21l1	ENSDARG00000022493
ccdc117	ENSDARG00000091872
avpr1aa	ENSDARG00000077083
RANBP2	ENSDARG00000093125
b3gat2	ENSDARG00000030733
	ENSDARG00000097314
dhrs9	ENSDARG00000019260
sowahd	ENSDARG00000087152
phykpl	ENSDARG00000040566
zgc:153896	ENSDARG00000003977
lrrc61	ENSDARG00000077357
	ENSDARG00000098509
	ENSDARG00000102174
klf6a	ENSDARG00000029072
	ENSDARG00000004763
	ENSDARG00000098680
slc52a3-2a	ENSDARG00000062502
	ENSDARG00000095661
hoxd9a	ENSDARG00000059274
zgc:112038	ENSDARG00000046140
sf3b4	ENSDARG00000018574
ntf3	ENSDARG00000059043
si:dkey-63d15.12	ENSDARG00000075480
	ENSDARG00000097348
	ENSDARG00000095139
igsf21b	ENSDARG00000056084
	ENSDARG00000093924
pogza	ENSDARG00000054778
	ENSDARG00000092169
car15	ENSDARG00000060829
osbpl7	ENSDARG00000012981
cabp5b	ENSDARG00000028485
usp7	ENSDARG00000073710
	ENSDARG00000078725
ABCB11	ENSDARG00000070078
	ENSDARG00000094460
cpo	ENSDARG00000077688
nr4a2a	ENSDARG00000017007
scube2	ENSDARG00000037362
	ENSDARG00000076364
	ENSDARG00000101935
	ENSDARG00000078963
si:dkey-23i12.5	ENSDARG00000103682
otx2b	ENSDARG00000011235
	ENSDARG00000096161
rnf220a	ENSDARG00000060929
	ENSDARG00000096880
	ENSDARG00000093873
mcm6l	ENSDARG00000033231
prdm11	ENSDARG00000074468
asb13b	ENSDARG00000089833
flnca	ENSDARG00000018566
	ENSDARG00000097060
crfb1	ENSDARG00000068681
zgc:174972	ENSDARG00000087933
ehf	ENSDARG00000052115
si:dkeyp-72a4.1	ENSDARG00000093985
si:dkey-238i5.2	ENSDARG00000101613
babam1	ENSDARG00000077526
mknk1	ENSDARG00000018411
creb3l3a	ENSDARG00000056226
	ENSDARG00000055011
	ENSDARG00000099772
lsm5	ENSDARG00000071573
nedd9	ENSDARG00000089878
rorca	ENSDARG00000057231
med15	ENSDARG00000014292
ABLIM2	ENSDARG00000055223
ctbs	ENSDARG00000100002
tnfaip8l3	ENSDARG00000088709
	ENSDARG00000094318
ftr85	ENSDARG00000034707
MYH11	ENSDARG00000100972
rnf111	ENSDARG00000078802
celf5a	ENSDARG00000071375
castor2	ENSDARG00000018985
	ENSDARG00000097729
abhd11	ENSDARG00000069501
slc7a3b	ENSDARG00000061566
hmgn6	ENSDARG00000087636
grm3	ENSDARG00000031712
gna15.4	ENSDARG00000071416
aadacl4	ENSDARG00000044802
rhol	ENSDARG00000070666
	ENSDARG00000093136
SPSB2	ENSDARG00000088985
kctd13	ENSDARG00000044769
si:dkey-253d23.9	ENSDARG00000074820
si:dkey-14k9.3	ENSDARG00000045595
drc12	ENSDARG00000077161
	ENSDARG00000027676
lnx2a	ENSDARG00000029177
	ENSDARG00000092166
myha	ENSDARG00000095930
rasal2	ENSDARG00000036257
kcnj11l	ENSDARG00000031438
p3h2	ENSDARG00000103026
csrp3	ENSDARG00000101706
tmed4	ENSDARG00000024954
parp12b	ENSDARG00000057974
dicer1	ENSDARG00000001129
gps2	ENSDARG00000035558
asb15b	ENSDARG00000045863
	ENSDARG00000111323
grin2aa	ENSDARG00000034493
fnip1	ENSDARG00000102171
tysnd1	ENSDARG00000074895
	ENSDARG00000115519
psma6l	ENSDARG00000043899
zc3h3	ENSDARG00000090751
jade3	ENSDARG00000019614
or90d1	ENSDARG00000055467
runx3	ENSDARG00000052826
nol12	ENSDARG00000038027
msi2a	ENSDARG00000033901
ncl	ENSDARG00000002710
	ENSDARG00000097817
or137-9	ENSDARG00000105681
rab33a	ENSDARG00000057394
exosc5	ENSDARG00000040557
si:ch73-367f21.6	ENSDARG00000089953
slc1a2a	ENSDARG00000052138
cdhr5b	ENSDARG00000098791
shisa9a	ENSDARG00000045145
lbx2	ENSDARG00000025131
TPR	ENSDARG00000103004
	ENSDARG00000097967
rgs7bpb	ENSDARG00000016742
	ENSDARG00000097837
	ENSDARG00000097167
tomm20a	ENSDARG00000090656
fshb	ENSDARG00000010841
tbx2b	ENSDARG00000006120
cts12	ENSDARG00000042753
lemd1	ENSDARG00000040161
rag2	ENSDARG00000052121
cyp2x8	ENSDARG00000043997
negaly6	ENSDARG00000089123
	ENSDARG00000102019
ARHGAP45	ENSDARG00000062049
crygm3	ENSDARG00000078189
kcnd3	ENSDARG00000056101
zte38	ENSDARG00000037056
si:ch211-9f20.4	ENSDARG00000094980
	ENSDARG00000087299
	ENSDARG00000088739
si:dkey-261j15.2	ENSDARG00000096411
zgc:113229	ENSDARG00000037398
ywhabl	ENSDARG00000040287
	ENSDARG00000098068
trim107	ENSDARG00000079884
atp2a1l	ENSDARG00000035458
chrna4b	ENSDARG00000070724
selenot2	ENSDARG00000023220
si:zfos-1056e6.1	ENSDARG00000101651
MMD2	ENSDARG00000089090
rpl26	ENSDARG00000102317
	ENSDARG00000097860
kcnn1a	ENSDARG00000091306
zgc:165604	ENSDARG00000021241
mbip	ENSDARG00000019364
skp1	ENSDARG00000003151
kiaa1549la	ENSDARG00000062477
	ENSDARG00000097088
	ENSDARG00000109615
galnt13	ENSDARG00000099227
grna.2	ENSDARG00000088641
	ENSDARG00000088552
dnajb12a	ENSDARG00000039363
pld7	ENSDARG00000061845
ifit8	ENSDARG00000057173
si:ch211-184m13.4	ENSDARG00000079522
	ENSDARG00000105564
dexi	ENSDARG00000055474
	ENSDARG00000098754
	ENSDARG00000008767
	ENSDARG00000115473
	ENSDARG00000099437
	ENSDARG00000096534
slc12a10.3	ENSDARG00000055253
grp	ENSDARG00000043074
gemin4	ENSDARG00000041252
	ENSDARG00000070857
	ENSDARG00000104394
znf983	ENSDARG00000071714
inab	ENSDARG00000053248
tacr1b	ENSDARG00000102900
st13	ENSDARG00000021973
	ENSDARG00000104388
commd2	ENSDARG00000003373
si:dkey-1k23.3	ENSDARG00000105422
	ENSDARG00000096564
alkbh2	ENSDARG00000059856
C11H6orf120	ENSDARG00000017337
fras1	ENSDARG00000054619
casd1	ENSDARG00000023900
fabp6	ENSDARG00000044566
	ENSDARG00000089485
stra6	ENSDARG00000051874
grinaa	ENSDARG00000101317
	ENSDARG00000077545
mapk12b	ENSDARG00000006409
glula	ENSDARG00000099776
	ENSDARG00000089471
vps35l	ENSDARG00000020041
tspan9a	ENSDARG00000025299
	ENSDARG00000095333
map7d1b	ENSDARG00000104701
fam228a	ENSDARG00000042936
pwwp2a	ENSDARG00000075526
klhdc10	ENSDARG00000007764
dera	ENSDARG00000005897
	ENSDARG00000103788
abcb10	ENSDARG00000061591
si:dkey-220f10.4	ENSDARG00000062902
	ENSDARG00000094367
prkacab	ENSDARG00000016809
	ENSDARG00000116576
ttc32	ENSDARG00000069241
	ENSDARG00000093616
or80a1	ENSDARG00000103685
or80a4	ENSDARG00000102614
zdhhc1	ENSDARG00000077546
	ENSDARG00000071905
thumpd2	ENSDARG00000093070
ttc38	ENSDARG00000042188
	ENSDARG00000092295
	ENSDARG00000094866
	ENSDARG00000101368
sult3st2	ENSDARG00000093619
nt5c1aa	ENSDARG00000035883
	ENSDARG00000087920
sytl4	ENSDARG00000102433
atp5if1b	ENSDARG00000044092
srpx2	ENSDARG00000034559
zcchc24	ENSDARG00000078026
rfx1a	ENSDARG00000005883
trmt11	ENSDARG00000040033
eif1ad	ENSDARG00000016280
coq6	ENSDARG00000060380
zgc:154055	ENSDARG00000103924
gnl3	ENSDARG00000006219
	ENSDARG00000041515
or41a2	ENSDARG00000043142
odf2a	ENSDARG00000028900
	ENSDARG00000097853
ctbp2a	ENSDARG00000044062
	ENSDARG00000094196
si:dkeyp-113d7.10	ENSDARG00000092359
eya2	ENSDARG00000018984
fut9b.4	ENSDARG00000086603
hpcal4	ENSDARG00000070491
zgc:103755	ENSDARG00000104663
st14a	ENSDARG00000061173
	ENSDARG00000089129
scn1ba	ENSDARG00000060222
	ENSDARG00000099001
si:ch211-140m22.7	ENSDARG00000077967
usp30	ENSDARG00000056842
tpma	ENSDARG00000033683
	ENSDARG00000097200
dhh	ENSDARG00000037062
	ENSDARG00000104142
	ENSDARG00000098426
htr1fb	ENSDARG00000053580
badb	ENSDARG00000054937
	ENSDARG00000105209
prcc	ENSDARG00000063252
pcmt	ENSDARG00000015201
ARF5	ENSDARG00000113899
	ENSDARG00000097742
si:ch211-114l13.1	ENSDARG00000093323
	ENSDARG00000097621
si:ch211-106h11.3	ENSDARG00000027360
	ENSDARG00000109933
	ENSDARG00000105545
stx1b	ENSDARG00000000503
hint3	ENSDARG00000074286
eif4g2b	ENSDARG00000057167
ZMAT4	ENSDARG00000061419
si:ch211-168f7.5	ENSDARG00000088195
tcp11l2	ENSDARG00000027316
	ENSDARG00000076896
ensaa	ENSDARG00000036944
kcnc2	ENSDARG00000057468
l1camb	ENSDARG00000015025
dbnla	ENSDARG00000008170
	ENSDARG00000033501
	ENSDARG00000098634
oprd1a	ENSDARG00000041660
irf10	ENSDARG00000027658
hist1h2a4	ENSDARG00000051736
calhm3	ENSDARG00000079602
hsd3b2	ENSDARG00000019747
	ENSDARG00000021979
diabloa	ENSDARG00000104172
	ENSDARG00000105612
	ENSDARG00000099394
abcg4b	ENSDARG00000078068
clcn1b	ENSDARG00000012269
dachc	ENSDARG00000003142
si:dkey-76k16.6	ENSDARG00000077481
	ENSDARG00000109428
zgc:136872	ENSDARG00000008553
pias1b	ENSDARG00000062445
tuba8l4	ENSDARG00000006260
ppp6r3	ENSDARG00000013379
	ENSDARG00000113564
lrrc58a	ENSDARG00000076773
fnbp1l	ENSDARG00000020131
rp1l1b	ENSDARG00000088377
pnp4b	ENSDARG00000029230
tcf7l1a	ENSDARG00000038159
rnaseh2c	ENSDARG00000089637
	ENSDARG00000086591
fbxo40.1	ENSDARG00000069775
si:ch211-255g12.6	ENSDARG00000094310
scp2b	ENSDARG00000102356
cox4i1	ENSDARG00000032970
	ENSDARG00000097541
NOX5	ENSDARG00000079773
	ENSDARG00000103265
ruvbl1	ENSDARG00000002591
ifi27.2	ENSDARG00000039243
MYORG	ENSDARG00000104260
zgc:55558	ENSDARG00000013161
taf4a	ENSDARG00000068192
si:ch73-109d9.2	ENSDARG00000103871
	ENSDARG00000010933
pdlim3a	ENSDARG00000011023
tssc4	ENSDARG00000036144
dock11	ENSDARG00000062485
	ENSDARG00000097459
cog2	ENSDARG00000004037
psmc4	ENSDARG00000027099
	ENSDARG00000094914
slc30a4	ENSDARG00000007180
fgf14	ENSDARG00000040982
ptk7a	ENSDARG00000011863
	ENSDARG00000042513
DNAJC6	ENSDARG00000079891
nf2a	ENSDARG00000020204
zfr	ENSDARG00000027109
fhdc4	ENSDARG00000086261
pimr132	ENSDARG00000069276
	ENSDARG00000096066
notum2	ENSDARG00000088411
	ENSDARG00000041685
fthl27	ENSDARG00000031776
	ENSDARG00000097957
	ENSDARG00000097504
bmp6	ENSDARG00000015686
pla2g1b	ENSDARG00000009153
kcnj2b	ENSDARG00000104389
znf827	ENSDARG00000076171
	ENSDARG00000089077
zgc:113983	ENSDARG00000068941
	ENSDARG00000090975
gpatch1	ENSDARG00000033418
cltrn	ENSDARG00000041644
havcr1	ENSDARG00000040178
glulb	ENSDARG00000100003
	ENSDARG00000093492
si:ch211-102c2.4	ENSDARG00000079387
	ENSDARG00000097286
	ENSDARG00000094703
	ENSDARG00000103105
col8a1a	ENSDARG00000077403
	ENSDARG00000056847
tapbp.1	ENSDARG00000079402
	ENSDARG00000090598
	ENSDARG00000074085
btbd10a	ENSDARG00000062674
	ENSDARG00000116090
ptpn21	ENSDARG00000062248
si:dkey-1b17.2	ENSDARG00000101998
daxx	ENSDARG00000000729
gpr179	ENSDARG00000102310
	ENSDARG00000010183
slc25a16	ENSDARG00000057287
si:dkey-28d5.10	ENSDARG00000093876
ube2z	ENSDARG00000029215
mylk3	ENSDARG00000076348
rgs5a	ENSDARG00000002644
cxcr4a	ENSDARG00000057633
dscama	ENSDARG00000024865
pop4	ENSDARG00000101472
gtf3c6	ENSDARG00000043301
MAP3K15	ENSDARG00000013310
mis18bp1	ENSDARG00000042563
agtr2	ENSDARG00000035552
slc5a6b	ENSDARG00000014599
ndrg4	ENSDARG00000103937
chuk	ENSDARG00000011662
	ENSDARG00000100121
exoc6	ENSDARG00000020521
gstt2	ENSDARG00000095464
mlf2	ENSDARG00000034616
vsig8b	ENSDARG00000013685
scpp7	ENSDARG00000074132
dsc2l	ENSDARG00000039677
si:dkey-49n23.1	ENSDARG00000040920
cep83	ENSDARG00000101236
vtg7	ENSDARG00000092419
ankrd53	ENSDARG00000098445
pargl	ENSDARG00000101719
	ENSDARG00000104929
ceacam1	ENSDARG00000041119
	ENSDARG00000093570
	ENSDARG00000096186
	ENSDARG00000093819
	ENSDARG00000099211
lrfn2b	ENSDARG00000077489
	ENSDARG00000093976
gna15.1	ENSDARG00000016364
dhx9	ENSDARG00000079725
zgc:174153	ENSDARG00000079376
rell2	ENSDARG00000071876
	ENSDARG00000097477
	ENSDARG00000094224
bahd1	ENSDARG00000086789
si:ch1073-440b2.1	ENSDARG00000089138
si:dkey-33m11.8	ENSDARG00000055014
dhcr24	ENSDARG00000013236
mst1	ENSDARG00000103308
ms4a17a.6	ENSDARG00000007018
jac4	ENSDARG00000092352
smim13	ENSDARG00000089204
pum1	ENSDARG00000099256
C6H3orf18	ENSDARG00000100263
etv5b	ENSDARG00000044511
SNAP91	ENSDARG00000098809
ddx5	ENSDARG00000038068
chodl	ENSDARG00000034528
prickle2b	ENSDARG00000037593
quo	ENSDARG00000073684
micall2b	ENSDARG00000017834
ercc8	ENSDARG00000069283
	ENSDARG00000105576
ddr2l	ENSDARG00000103830
	ENSDARG00000103936
rbm5	ENSDARG00000098280
drc1	ENSDARG00000042182
	ENSDARG00000096119
nde1	ENSDARG00000103902
	ENSDARG00000075212
malrd1	ENSDARG00000090618
cd9b	ENSDARG00000016691
frya	ENSDARG00000013921
lrba	ENSDARG00000031108
	ENSDARG00000092542
grm2a	ENSDARG00000004150
tmem260	ENSDARG00000076362
spink2.11	ENSDARG00000103336
jac10	ENSDARG00000087318
	ENSDARG00000097707
bsnb	ENSDARG00000079161
spink2.3	ENSDARG00000099689
brd8b	ENSDARG00000025071
SEC14L1	ENSDARG00000101792
	ENSDARG00000104468
col11a1b	ENSDARG00000009014
lxn	ENSDARG00000043102
	ENSDARG00000095396
rnaseh2b	ENSDARG00000005128
opn4.1	ENSDARG00000007553
spon1b	ENSDARG00000023694
ankrd45	ENSDARG00000011326
	ENSDARG00000114744
	ENSDARG00000097825
	ENSDARG00000101829
brip1	ENSDARG00000074410
tdrd15	ENSDARG00000014039
wscd1b	ENSDARG00000078006
	ENSDARG00000058562
	ENSDARG00000093080
	ENSDARG00000092593
ldb2b	ENSDARG00000034896
fbxo2	ENSDARG00000099306
gtpbp3	ENSDARG00000018650
syncrip	ENSDARG00000040184
cyldl	ENSDARG00000090153
inka2	ENSDARG00000073900
spi1b	ENSDARG00000000767
rpe65c	ENSDARG00000054420
plxdc2b	ENSDARG00000059950
	ENSDARG00000094458
chd4a	ENSDARG00000063535
or90g2	ENSDARG00000105838
wrap73	ENSDARG00000009557
sirt5	ENSDARG00000039684
dpp6b	ENSDARG00000024744
	ENSDARG00000102371
	ENSDARG00000102694
	ENSDARG00000026663
nop56	ENSDARG00000012820
	ENSDARG00000096060
	ENSDARG00000074036
tmem187	ENSDARG00000051989
	ENSDARG00000093971
tmt1a.1	ENSDARG00000056726
btr31	ENSDARG00000096304
	ENSDARG00000053027
	ENSDARG00000092089
prdm14	ENSDARG00000045371
si:ch211-191i18.2	ENSDARG00000070141
pars2	ENSDARG00000044404
btbd6b	ENSDARG00000032369
DNAH1	ENSDARG00000100115
	ENSDARG00000116868
frem2a	ENSDARG00000076856
	ENSDARG00000092369
	ENSDARG00000105670
fnbp4	ENSDARG00000051800
helt	ENSDARG00000056400
	ENSDARG00000073843
ribc1	ENSDARG00000055739
	ENSDARG00000097663
rag1	ENSDARG00000052122
